Id,GEOID,name,homerule,hrnew
1600000US4822132,4822132,"Eastland city, Texas",1,0
1600000US4822660,4822660,"Edinburg city, Texas",1,0
1600000US4822720,4822720,"Edna city, Texas",1,0
1600000US4822864,4822864,"El Campo city, Texas",1,0
1600000US4824000,4824000,"El Paso city, Texas",1,0
1600000US4822984,4822984,"Electra city, Texas",1,0
1600000US4823044,4823044,"Elgin city, Texas",1,0
1600000US4824036,4824036,"Elsa city, Texas",1,0
1600000US4824348,4824348,"Ennis city, Texas",1,0
1600000US4824768,4824768,"Euless city, Texas",1,0
1600000US4824912,4824912,"Everman city, Texas",1,0
1600000US4825224,4825224,"Fairview town, Texas",1,0
1600000US4825452,4825452,"Farmers Branch city, Texas",1,0
1600000US4825572,4825572,"Fate city, Texas",1,0
1600000US4826160,4826160,"Floresville city, Texas",1,0
1600000US4826232,4826232,"Flower Mound town, Texas",1,0
1600000US4826544,4826544,"Forest Hill city, Texas",1,0
1600000US4826604,4826604,"Forney city, Texas",1,0
1600000US4827000,4827000,"Fort Worth city, Texas",1,0
1600000US4827348,4827348,"Fredericksburg city, Texas",1,0
1600000US4827420,4827420,"Freeport city, Texas",1,0
1600000US4827648,4827648,"Friendswood city, Texas",1,0
1600000US4827684,4827684,"Frisco city, Texas",1,0
1600000US4827984,4827984,"Gainesville city, Texas",1,0
1600000US4827996,4827996,"Galena Park city, Texas",1,0
1600000US4828068,4828068,"Galveston city, Texas",1,0
1600000US4829000,4829000,"Garland city, Texas",1,0
1600000US4829168,4829168,"Gatesville city, Texas",1,0
1600000US4829348,4829348,"George West city, Texas",1,0
1600000US4829336,4829336,"Georgetown city, Texas",1,0
1600000US4829432,4829432,"Giddings city, Texas",1,0
1600000US4829564,4829564,"Gilmer city, Texas",1,0
1600000US4829660,4829660,"Gladewater city, Texas",1,0
1600000US4829840,4829840,"Glenn Heights city, Texas",1,0
1600000US4830116,4830116,"Gonzales city, Texas",1,0
1600000US4830308,4830308,"Gorman city, Texas",1,0
1600000US4830392,4830392,"Graham city, Texas",1,0
1600000US4830416,4830416,"Granbury city, Texas",1,0
1600000US4830464,4830464,"Grand Prairie city, Texas",1,0
1600000US4830584,4830584,"Granite Shoals city, Texas",1,0
1600000US4830644,4830644,"Grapevine city, Texas",1,0
1600000US4830920,4830920,"Greenville city, Texas",1,0
1600000US4831328,4831328,"Groves city, Texas",1,0
1600000US4831592,4831592,"Gun Barrel City city, Texas",1,0
1600000US4831928,4831928,"Haltom City city, Texas",1,0
1600000US4832312,4832312,"Harker Heights city, Texas",1,0
1600000US4832372,4832372,"Harlingen city, Texas",1,0
1600000US4832972,4832972,"Hearne city, Texas",1,0
1600000US4832984,4832984,"Heath city, Texas",1,0
1600000US4833212,4833212,"Henderson city, Texas",1,0
1600000US4833320,4833320,"Hereford city, Texas",1,0
1600000US4833428,4833428,"Hewitt city, Texas",1,0
1600000US4833560,4833560,"Hidalgo city, Texas",1,0
1600000US4833824,4833824,"Highland Park town, Texas",1,0
1600000US4833848,4833848,"Highland Village city, Texas",1,0
1600000US4834088,4834088,"Hillsboro city, Texas",1,0
1600000US4834220,4834220,"Hitchcock city, Texas",1,0
1600000US4834676,4834676,"Hondo city, Texas",1,0
1600000US4834832,4834832,"Horizon City city, Texas",1,0
1600000US4834862,4834862,"Horseshoe Bay city, Texas",1,0
1600000US4835000,4835000,"Houston city, Texas",1,0
1600000US4835348,4835348,"Humble city, Texas",1,0
1600000US4835528,4835528,"Huntsville city, Texas",1,0
